"No","Apakah.BapakIbu.tahu.mengenai.pendanaan.untuk.mengembangkan.usaha","Apakah.Bapak.Ibu.tahu.yang.dimaksud.dengan.dana.desa","Apakah.Bapak.Ibu.tahu.yang.dimaksud.dengan.dana.CSR.Coorporate.Social.Responsibility","Modal.Usaha.Bapak.Ibu.diperoleh.dari","Modal.awal","Apakah.Bapak.Ibu.mengetahui.adanya.perusahaan.listrik","Jika.tahu.sudah.berapa.lama.perusahaan.beraktifitas.tahun","Apakah.perusahaan.memberikan.bantuan.buat.masyarakat.desa","dalam.bentuk","Apakah.pemerintah.desa.memberikan.bantuan.buat.masyarakat","Jika.ya.dalam.bentuk"
35,1,1,1,3,"15.000.000",2,NA,NA,NA,1,"3"
36,1,1,1,1,"10.000.000",2,NA,NA,NA,1,"3"
37,2,2,2,1,"10.000.000",1,15,1,1,2,NA
38,1,1,1,1,"500000",1,7,2,NA,1,"1"
39,1,1,1,1,"20.000.000",1,7,2,NA,2,NA
40,1,1,2,1,"38.000.000",1,5,2,NA,1,"1"
41,2,2,2,1,"10.000.000",1,8,1,1,1,"1"
42,1,1,1,1,"6.000.000",1,8,2,NA,1,"1"
43,1,1,2,1,"1.500.000",1,10,2,NA,1,"1"
44,2,1,2,NA,NA,1,10,2,NA,2,NA
45,1,1,1,1,"15.000.000",1,5,1,1,1,"1"
46,1,1,1,1,"8.000.000",1,11,2,NA,1,"1"
47,1,1,1,1,"1.000.000",1,12,1,1,1,"1"
48,1,1,1,1,"4.000.000",1,5,1,1,1,"1"
49,1,1,1,1,"5.000.000",1,3,1,1,1,"3"
50,1,1,1,NA,NA,1,6,1,1,1,"5"
51,1,1,1,NA,NA,1,7,1,1,1,"2"
52,1,2,1,NA,NA,1,10,1,1,1,"1"
53,1,2,1,NA,NA,1,10,1,1,1,"4"
54,1,1,1,1,"150.000.000",1,10,1,1,1,"2"
55,1,2,2,1,"5.000.000",1,10,1,1,1,"3"
56,1,2,2,1,"10.000.000",1,10,1,2,1,"1"
57,1,2,2,1,"20.000.000",1,10,1,4,1,"2"
58,1,1,1,6,"50.000.000",1,15,2,NA,1,"5"
59,1,2,2,1,"5.000.000",1,10,1,5,1,"3"
60,1,2,2,1,"5.000.000",1,10,1,5,1,"1"
61,1,2,1,NA,NA,1,10,1,1,1,"5"
62,2,1,1,1,"300000",1,8,1,5,1,"5"
63,1,1,1,NA,NA,1,11,1,1,1,"3"
64,1,1,1,2,"2.000.000",1,10,1,1,1,"2"
65,1,1,1,NA,NA,1,11,1,1,1,"3"
66,1,1,1,NA,NA,1,11,1,1,1,"3"
67,1,1,1,3,"30.000.000",1,11,1,5,1,"5"
68,2,2,1,1,"50.000.000",1,11,1,5,1,"2"
69,2,2,1,3,"30.000.000",1,9,1,4,1,"5"
70,1,1,2,3,"25.000.000",1,11,1,2,1,"2"
71,1,2,2,1,"500000",2,NA,2,NA,1,"1"
72,2,2,2,1,"270000",1,11,1,2,2,NA
73,2,2,2,1,"5.000.000",1,9,2,NA,2,NA
74,2,1,2,1,"25.000.000",1,11,2,NA,1,"2"
75,1,2,2,1,"1.000.000",1,10,1,1,2,NA
76,2,2,2,1,"1.800.000",2,NA,2,NA,1,"1"
77,1,1,2,1,NA,1,9,1,1,1,"5"
78,1,1,2,3,"30.000.000",1,7,1,5,2,"-"
79,2,1,1,1,"1.500.000",1,9,2,NA,1,"5"
80,1,1,1,1,NA,1,7,2,NA,1,"3"
81,2,1,2,3,NA,1,9,2,NA,1,"4"
82,2,1,2,NA,NA,1,NA,2,NA,1,"2"
83,2,1,2,NA,NA,1,NA,2,NA,1,"2"
84,2,1,2,NA,NA,1,NA,2,NA,1,"2"
85,2,2,2,5,NA,2,NA,2,5,1,"2"
86,2,1,2,NA,NA,1,NA,2,NA,1,"2"
87,2,1,2,NA,NA,1,9,NA,NA,NA,NA
88,1,1,2,NA,NA,1,9,NA,NA,NA,NA
89,2,2,2,1,"5.000.000",1,7,1,5,2,NA
90,1,1,2,1,"1.000.000",1,7,1,1,1,"1"
91,2,2,2,NA,NA,1,NA,NA,NA,NA,NA
