No,Apakah.Anda.atau.anggota.keluarga.Anda.memiliki.usaha.sendiri.di.desa.ini,Berapa.pendapatan.bulanan.Anda.atau.anggota.keluarga.Anda.secara.keseluruhan.Kisaran.jumlah,Apakah.Anda.atau.anggota.keluarga.Anda.menerima.bantuan.sosial,Jika.ya.sebutkan.aspek.ekonomi,Bagaimana.Anda.menilai.stabilitas.harga.pangan.saat.ini,Apakah.Anda.memiliki.simpanan.atau.investasi.di.luar.penghasilan.bulanan.Anda,Apakah.Anda.merasa.terdapat.peluang.ekonomi.yang.cukup.di.desa.ini,Bagaimana.Anda.menilai.aksesibilitas.dan.ketersediaan.lapangan.pekerjaan.di.desa.ini,Apakah.Anda.merasa.terdapat.kesenjangan.ekonomi.di.antara.penduduk.di.desa.ini
93,2,2,1,Sembako,2,2,1,2,1
94,1,2,2,,2,2,1,2,3
95,1,2,2,,3,2,1,2,1
96,2,1,1,BLT,3,2,2,3,1
97,1,1,1,BLT,3,2,2,3,2
98,1,2,1,BLT,3,2,2,3,1
99,2,1,1,BLT,3,2,2,3,1
100,1,2,2,,3,2,1,2,2
101,1,3,2,,3,1,1,1,1
102,2,2,2,,2,2,1,2,1
103,2,2,1,PKH,2,2,1,2,1
104,2,2,2,,2,2,1,2,1
105,2,2,2,,2,2,1,2,1
106,2,2,2,,3,2,2,3,1
107,1,4,2,,2,2,2,2,1
108,1,3,2,,2,2,1,3,1
109,1,1,2,,2,2,1,2,1
110,1,2,2,,2,2,2,1,1
111,1,4,1,Sembako,3,2,1,1,1
112,1,2,2,,3,2,2,1,1
113,1,4,2,,2,2,1,1,1
114,1,1,2,,2,2,2,2,1
115,2,1,1,"Bansos, BLT",2,2,2,1,1
116,1,2,2,,2,2,1,1,1
117,1,1,2,,3,2,2,2,1
118,1,2,1,PKH,2,1,2,1,1
119,1,1,2,,4,2,2,2,2
120,2,2,2,,3,2,1,3,1
121,2,1,2,,3,2,2,2,2
122,2,2,1,"BLT, Beras",3,2,2,3,1
123,2,3,2,,2,1,1,2,1
124,2,2,2,,2,2,2,2,1
125,1,3,2,,3,2,2,2,1
126,1,2,2,,3,2,1,3,2
127,1,3,1,Bantuan sumber (polres) UMKM,2,2,2,3,2
128,1,2,2,,3,2,1,3,2
129,1,2,2,,2,2,1,3,2
130,2,2,2,,2,2,2,3,2
131,2,NA,2,,3,2,2,3,2
132,2,NA,2,,NA,2,2,3,2
133,2,NA,2,,NA,2,2,3,2
134,2,2,2,,2,2,1,3,2
135,2,NA,2,,2,2,1,2,2
136,1,1,2,,3,1,1,3,3
137,2,NA,1,Beras,2,2,1,2,3
138,1,1,2,,2,1,1,4,4
139,1,1,2,,3,1,2,3,4
140,1,2,2,,2,1,1,3,4
141,1,1,2,,2,1,1,1,3
142,2,1,1,Sembako,4,1,2,4,3
143,1,2,2,,3,2,1,4,2
144,2,1,2,,3,2,2,4,2
145,2,1,2,,4,2,1,3,2
146,2,2,2,,3,2,1,3,2
147,1,1,2,,4,2,1,3,2
148,2,1,2,,2,2,1,3,2
149,2,2,2,,4,2,1,2,2
150,2,1,2,,2,2,1,4,3
