No,Berapa.lama.Anda.sudah.tinggal.di.desa.ini.tahun,Apakah.Anda.berencana.untuk.tinggal.di.desa.ini.dalam.jangka.waktu.yang.lama,Apakah.Anda.melihat.perubahan.signifikan.dalam.kondisi.ekonomi.dan.sosial.desa.dalam.beberapa.tahun.terakhir,Apakah.Anda.memiliki.saran.atau.masukan.untuk.meningkatkan.aspek.sosial.ekonomi.di.desa.ini
23,32,1,1,"Adanya bantuan modal untuk pertanian/ perkebunan, mengadakan pasar desa"
24,23,2,1,Pengembangan SDM
25,4,1,1,
26,43,1,2,
27,33,1,1,
28,27,1,1,
29,35,1,1,
30,52,1,2,
31,45,1,2,
32,35,1,2,
33,35,1,2,
34,35,1,2,
35,30,1,2,
36,15,1,2,
37,60,1,2,
38,37,1,2,
39,33,1,2,
40,60,1,2,
41,48,1,2,
42,54,1,2,
43,45,1,2,
44,45,1,2,
45,39,1,2,
46,38,1,2,
47,50,1,2,
48,11,1,2,
49,10,1,2,
50,10,1,2,
51,56,1,1,
52,49,1,1,Harus ada kemauan dan sungguh-sungguh untuk maju
53,10,1,1,Perbanyak lapangan pekerjaan
54,13,1,1,Lebih perhatian kepada masyarakat
55,23,1,2,Perbanyak lapangan pekerjaan
56,24,1,1,Lebik baik lagi
57,37,1,2,Memajukan masyarakat
58,31,1,1,Melarang renternir
59,46,1,1,Menciptakan lapangan pekerjaan
60,43,1,2,Bumdes harus merangkul masyarakat desa
61,52,1,1,
62,2,2,2,Membuka lap-pangan pekerjaan
63,33,1,2,
64,40,1,2,Sediakan lapangan pekerjaan
65,55,1,1,Harus ada investor yang bersedia menanamkan modalnya di desa
66,49,1,2,Bantuan harus merata
67,32,1,2,Bantuan harus merata
68,43,1,2,Sediakan lapangan pekerjaan
69,36,1,1,
70,27,1,1,
71,39,1,1,
72,39,1,1,Sediakan modal usaha
73,58,1,2,Keterbukaan dana desa
74,50,1,2,Lebih maju lagi
75,74,1,2,
76,55,2,2,Ditingkatkan lagi infrastruktur yang ada di desa
77,54,1,1,"Lapangan usaha, untuk pakan jangan dibuat bisnis & untuk pembelian pakan harus sesuai dengan hasil jual"
78,40,1,1,Pengadaan tempat sampah
79,1,1,2,Perbanyak lapangan pekerjaan
80,2,3,2,Sediakan lapangan pekerjaan
81,47,1,2,Adanya lapangan pekerjaan untuk ibu-ibu dan remaja
82,57,1,2,Diadakan lapangan pekerjaan untuk masyarakat desa
83,42,1,1,"Pemberian air bersih lebih ditingkatkan, adanya pemberian bantuan air bersih"
84,43,1,1,Harus bisa memanfaatkan berbagai potensi yang ada di desa
85,43,2,1,Pemerataan infrastruktur
86,12,1,1,Adanya pemberitahuan tentang informasi bantuan desa
87,43,1,1,Adanya pemerataan bantuan sosial
88,32,1,1,Adanya bantuan sosial yang merata
89,14,1,1,Adanya UMKM untuk Kp.Muara
90,40,1,2,Adanya bantuan untuk masyarakat
91,67,1,1,
92,38,1,1,
93,21,1,1,Bangun dan perbaiki infrastruktur dasar seperti jalan
94,33,1,1,"Dorong peran aktif perempuan dalam berbagai kegiatan ekonomi dan sosial, mulai dari pendidikan dan pengembangan usaha"
95,5,1,1,
96,35,2,1,
97,41,2,1,
98,6,1,1,Fasilitasi akses pendanaan bagi warga desa dari bantuan pemerintah
99,32,1,1,
100,35,1,1,
101,47,1,1,"Pemberian pelatihan secara berkelanjutan, Bantuan sarana dan prasarana"
102,45,1,1,
103,27,1,1,
104,26,1,1,"Pemetaan potensi desa, Peningkatan SDM"
105,45,1,1,Peningkatan SDM
106,6,1,2,Mencari peluang usaha
107,47,1,2,
108,40,1,1,"Mengoperasikan Bumdes dan transparankan, karena SDAnya sudah cukup melimpah"
109,73,1,1,Dari dinas ada bantuan untuk alat-alat kebutuhan tani sepeti pembajak sawah
110,62,1,1,Adanya bantuan berupa sumbangan dari pemerintah desa
111,34,1,2,Lebih kooperatif dalam hal apapun
112,48,1,1,Kurangnya dukungan dari pemerintah desa
113,45,1,2,Perlunya bantuan seperti pinjaman dan adanya lapangan pekerjaan
114,7,1,1,
115,52,1,2,Perlunya bantuan sosial dari desa
116,41,1,1,"Adat tani jangan sampai hilang, masyarakat lebih peduli soal bertani"
117,20,1,1,
118,64,1,1,"Dimohon pihak pertanian/penyuluh untuk terjun ke lapangan dan peduli kepada warga desa, perlunya pengetahuan tentang cara bertani yang benar"
119,30,1,1,Bantuan harus lebih merata.
120,11,2,2,Harus tersedia lapangan pekerjaan untuk ibu rumah tangga dan bantuan dari desa harus tepat sasaran.
121,27,1,1,
122,41,1,1,Perbanyak lapanga pekerjaan.
123,6,1,1,"Lebih inovarif dalam pemberdayaan SDM & Pengolahan lahan, pertanian, dan perkebunan."
124,2,2,1,"Berhubung saat ini sekolah sedang mengikuti ANBK dengan fasilitas seadanya, saya harap bisa membantu berpartisipasi sarana (komputer)."
125,40,1,2,
126,59,1,1,
127,49,1,1,"Keterkaitan (kebersamaan), menghormati"
128,14,NA,1,butuh pembinaan juga modal usaha
129,30,1,2,Saling bekerja sama antara petani dan pengepul agar hasil bumi tidak dijual ke luar
130,34,1,2,
131,41,1,2,
132,32,1,1,
133,33,1,1,
134,37,1,2,
135,35,1,1,
136,39,1,1,"kerja sama dalam pembangunan wisata, hasil pertanian diolah sendiri"
137,38,1,1,"adanya pelatihan dan praktik di bidang perekonomian (pertanian secara luas), pelatihan khusus home industry, legalitas produk (diajarkan sampai berjalan usahanya)"
138,54,1,1,Bijak dalam menentukan jadwal kerja bakti agar tidak terjadi kesenjangan dan gotong royong semua partisipasi 
139,9,1,1,Pinjaman modal usaha yang bisa nyicil (kuota tidak cukup biasanya)
140,17,3,2,kurang kesadaran masyarakat dalam membuang sampah (padahal sudah tersedia tempatnya)
141,8,3,1,"Tidak konsisten dalam bertani, belum ada pupuk, hama durian"
142,30,1,1,
143,54,1,2,"Tidak ada yang tanam sayuran, kalau bisa tanam sayuran agar tidak beli terus menerus"
144,38,1,1,"akses jalan yang rusak tidak sigap diperbaiki, usulan ke desa belum terealisasi, sistem pertanian belum cukup, kurang ada pemasaran dari kelompok tani"
145,35,1,1,"Bantuan masyarakat harus adil, kesejahteraan untuk semua warga"
146,30,1,1,Tingkatkan keakraban warga
147,27,3,2,"perlu adanya usaha (bantuan) jualan, ditingkatkan kerukunan warga satu sama lain"
148,30,3,2,"Sering terbuka saja antara aparat desa dengan warga, jangan dipilih-pilih yang masih kerabat dengan aparatnya"
149,31,1,2,tingkatkan pertanian di desa
150,30,1,2,"Kerukunan antar warga semakin ditingkatkan, warga mulai menanam sayuran"
